photons,time,photons_per_second
524288,1.932006,271.369809
524288,1.896368,276.469532
524288,1.891413,277.193784
524288,1.897902,276.246087
524288,1.882501,278.506056
524288,1.890766,277.288632
524288,1.896165,276.499176
524288,1.890565,277.318096
524288,1.877288,279.279403
524288,1.888307,277.649724
524288,1.895647,276.574764
524288,1.896226,276.490239
524288,1.894442,276.750612
524288,1.883745,278.322101
524288,1.893058,276.952894
524288,1.892405,277.048513
524288,1.889826,277.426587
524288,1.910489,274.426112
524288,1.893381,276.90572
524288,1.894622,276.724399
524288,1.874969,279.624895
524288,1.894593,276.728628
524288,1.891657,277.158046
524288,1.880789,278.759615
524288,1.895477,276.599449
524288,1.894649,276.720353
524288,1.918038,273.345951
524288,1.893376,276.906421
524288,1.891348,277.203389
524288,2.020598,259.471732
