photons,time,photons_per_second
32768,0.105895,309.43792
32768,0.104123,314.70457
32768,0.103393,316.925608
32768,0.105402,310.884567
32768,0.106155,308.680086
32768,0.106178,308.613044
32768,0.105485,310.639928
32768,0.103644,316.157867
32768,0.105814,309.674175
32768,0.107354,305.231928
32768,0.106015,309.087765
32768,0.106359,308.088157
32768,0.106578,307.454205
32768,0.106364,308.073144
32768,0.106116,308.792936
32768,0.106412,307.936639
32768,0.105744,309.879769
32768,0.104102,314.768232
32768,0.104493,313.590915
32768,0.104161,314.589584
32768,0.104237,314.359817
32768,0.103692,316.011637
32768,0.103705,315.971755
32768,0.10358,316.355181
32768,0.103443,316.772053
32768,0.103845,315.546526
32768,0.103661,316.105967
32768,0.103401,316.901526
32768,0.103513,316.55975
32768,0.103428,316.819307
