photons,time,photons_per_second
32768,0.05059,647.716778
32768,0.049583,660.876708
32768,0.049164,666.498902
32768,0.049248,665.370882
32768,0.049233,665.573867
32768,0.049833,657.554632
32768,0.050716,646.107955
32768,0.049357,663.902137
32768,0.049222,665.716661
32768,0.049242,665.45168
32768,0.049195,666.088391
32768,0.049144,666.777064
32768,0.049142,666.805016
32768,0.049234,665.556429
32768,0.049227,665.656212
32768,0.049418,663.078468
32768,0.049181,666.274345
32768,0.049276,664.985235
32768,0.049224,665.686634
32768,0.049395,663.385343
32768,0.050061,654.55945
32768,0.049834,657.54579
32768,0.049592,660.746777
32768,0.049486,662.16745
32768,0.049318,664.423645
32768,0.049221,665.730857
32768,0.049306,664.585755
32768,0.049462,662.492505
32768,0.049413,663.138724
32768,0.049264,665.156936
