photons,time,photons_per_second
131072,0.157957,829.79371
131072,0.156951,835.116592
131072,0.154269,849.632792
131072,0.153685,852.85911
131072,0.152175,861.325162
131072,0.153332,854.827511
131072,0.153457,854.128301
131072,0.153959,851.344814
131072,0.153264,855.205718
131072,0.15566,842.042946
131072,0.153885,851.751502
131072,0.155029,845.469426
131072,0.153047,856.418959
131072,0.152087,861.820197
131072,0.153619,853.227358
131072,0.155231,844.369448
131072,0.156061,839.874724
131072,0.154495,848.390305
131072,0.152277,860.746074
131072,0.155072,845.231056
131072,0.152793,857.842937
131072,0.153273,855.152938
131072,0.15367,852.947176
131072,0.154859,846.397887
131072,0.152736,858.161952
131072,0.152745,858.111564
131072,0.153412,854.376613
131072,0.155309,843.944073
131072,0.152894,857.271998
131072,0.154698,847.278709
131072,0.157792,830.66094
131072,0.15333,854.833528
131072,0.152744,858.116053
131072,0.153023,856.552217
131072,0.153161,855.780391
131072,0.153326,854.856666
131072,0.153073,856.271822
131072,0.153948,851.407086
131072,0.153751,852.492997
131072,0.153605,853.303176
131072,0.152617,858.827323
131072,0.153606,853.301789
131072,0.152616,858.834241
131072,0.155188,844.6027
131072,0.157608,831.632427
131072,0.154192,850.056473
131072,0.155059,845.301819
131072,0.15506,845.298539
131072,0.153885,851.751884
131072,0.154199,850.017828
