photons,time,photons_per_second
131072,0.135071,970.395362
131072,0.136407,960.886847
131072,0.135696,965.924039
131072,0.133743,980.031426
131072,0.135043,970.596701
131072,0.135026,970.716821
131072,0.137896,950.51267
131072,0.137846,950.856402
131072,0.13776,951.455034
131072,0.138089,949.187402
131072,0.135882,964.598371
131072,0.136752,958.466139
131072,0.134806,972.299642
131072,0.134893,971.677011
131072,0.136667,959.058754
131072,0.135029,970.694178
131072,0.135184,969.581048
131072,0.134808,972.283769
131072,0.139173,941.794025
131072,0.135589,966.689144
131072,0.135668,966.122465
131072,0.134708,973.005107
131072,0.138125,948.940151
131072,0.139238,941.349699
131072,0.136574,959.714631
131072,0.133886,978.985271
131072,0.136001,963.760311
131072,0.136145,962.738261
131072,0.135939,964.19633
131072,0.135823,965.019446
131072,0.136444,960.626349
131072,0.135969,963.981599
131072,0.134769,972.568453
131072,0.134948,971.281269
131072,0.134143,977.108559
131072,0.136684,958.940737
131072,0.135246,969.139226
131072,0.135292,968.811348
131072,0.136649,959.188313
131072,0.139689,938.315029
131072,0.136476,960.402719
131072,0.135371,968.242752
131072,0.135909,964.41263
131072,0.133951,978.508822
131072,0.134257,976.277283
131072,0.135043,970.595262
131072,0.13486,971.912843
131072,0.137589,952.635042
131072,0.135123,970.018039
131072,0.136111,962.982141
