photons,time,photons_per_second
131072,0.633769,206.813507
131072,0.636247,206.007968
131072,0.635901,206.1202
131072,0.623325,210.278699
131072,0.633222,206.992318
131072,0.623736,210.140215
131072,0.623867,210.096148
131072,0.623801,210.118229
131072,0.625382,209.587048
131072,0.623492,210.222476
131072,0.638739,205.204413
131072,0.624205,209.982415
131072,0.62253,210.547135
131072,0.62448,209.889673
131072,0.626604,209.178399
131072,0.627436,208.900882
131072,0.624627,209.840599
131072,0.624598,209.850297
131072,0.624683,209.821685
131072,0.624445,209.901509
131072,0.62453,209.872902
131072,0.623979,210.058445
131072,0.728249,179.982485
131072,0.634914,206.440441
131072,0.624533,209.872137
131072,0.640837,204.532358
131072,0.624006,210.049299
131072,0.633267,206.977524
131072,0.623899,210.08543
131072,0.623549,210.203078
