photons,time,photons_per_second
524288,2.512246,208.69294
524288,4.270894,122.758379
524288,2.52403,207.718629
524288,2.507874,209.056766
524288,2.510308,208.854059
524288,2.512552,208.667541
524288,2.510171,208.865462
524288,2.539614,206.443974
524288,2.514957,208.467956
524288,2.521957,207.889318
524288,2.506823,209.144441
524288,2.548031,205.762047
524288,2.511714,208.737165
524288,2.507159,209.11635
524288,2.50817,209.032091
524288,2.567915,204.16877
524288,2.507825,209.060865
524288,2.505367,209.265937
524288,2.507089,209.122251
524288,2.50844,209.009575
524288,2.506628,209.160669
524288,2.509864,208.891023
524288,2.507767,209.065693
524288,2.52464,207.668447
524288,2.504212,209.36243
524288,2.507135,209.118391
524288,2.585767,202.759162
524288,2.528508,207.350715
524288,2.517707,208.240285
524288,2.547745,205.785088
