photons,time,photons_per_second
32768,0.167751,195.337145
32768,0.166124,197.250795
32768,0.166971,196.250074
32768,0.166712,196.554687
32768,0.166057,197.329292
32768,0.167824,195.251844
32768,0.1662,197.159684
32768,0.166489,196.817336
32768,0.166189,197.173084
32768,0.166302,197.039086
32768,0.171264,191.33005
32768,0.19502,168.024094
32768,0.17221,190.278891
32768,0.170662,192.004973
32768,0.170364,192.341163
32768,0.184773,177.341449
32768,0.170873,191.768292
32768,0.174016,188.30408
32768,0.170321,192.389816
32768,0.170749,191.906977
32768,0.172243,190.242663
32768,0.171851,190.676591
32768,0.170599,192.076106
32768,0.173715,188.630634
32768,0.170883,191.7565
32768,0.1707,191.96216
32768,0.175608,186.597916
32768,0.170501,192.186443
32768,0.170344,192.363779
32768,0.170548,192.133718
