photons,time,photons_per_second
32768,0.115038,284.845077
32768,0.112533,291.186804
32768,0.113224,289.409833
32768,0.113522,288.649206
32768,0.112982,290.029476
32768,0.113061,289.824805
32768,0.113617,288.407633
32768,0.112661,290.854896
32768,0.112309,291.767598
32768,0.112721,290.699627
32768,0.112536,291.178304
32768,0.112291,291.813885
32768,0.112396,291.541527
32768,0.112517,291.226886
32768,0.113091,289.748379
32768,0.112721,290.700769
32768,0.11317,289.547337
32768,0.112316,291.747811
32768,0.112395,291.544362
32768,0.112238,291.950507
32768,0.112291,291.81198
32768,0.112188,292.081366
32768,0.112237,291.95283
32768,0.112404,291.519315
32768,0.112282,291.837624
32768,0.11239,291.556964
32768,0.11214,292.20713
32768,0.112712,290.724474
32768,0.112873,290.307954
32768,0.11325,289.343395
