photons,time,photons_per_second
32768,0.201311,162.772645
32768,0.198726,164.890059
32768,0.202067,162.163928
32768,0.201088,162.95322
32768,0.197737,165.715136
32768,0.20157,162.563483
32768,0.201885,162.309838
32768,0.201887,162.308756
32768,0.201848,162.339613
32768,0.199286,164.4269
32768,0.19822,165.311174
32768,0.20487,159.945576
32768,0.196661,166.621445
32768,0.196887,166.430119
32768,0.197909,165.571029
32768,0.197614,165.818247
32768,0.196467,166.786008
32768,0.196825,166.482586
32768,0.196613,166.662721
32768,0.197697,165.748972
32768,0.201004,163.021317
32768,0.197428,165.974783
32768,0.197641,165.795273
32768,0.198516,165.064821
32768,0.20455,160.195579
32768,0.200166,163.704087
32768,0.196898,166.421123
32768,0.196391,166.850516
32768,0.197001,166.334591
32768,0.197552,165.870431
