photons,time,photons_per_second
32768,0.051269,639.139621
32768,0.050162,653.248466
32768,0.050615,647.400317
32768,0.050291,651.572902
32768,0.050163,653.229622
32768,0.050131,653.648708
32768,0.050463,649.340831
32768,0.050345,650.875145
32768,0.050297,651.493762
32768,0.050172,653.106886
32768,0.050203,652.711818
32768,0.050087,654.225717
32768,0.050114,653.863424
32768,0.050186,652.933048
32768,0.050157,653.302841
32768,0.050275,651.778944
32768,0.050609,647.47217
32768,0.050465,649.318931
32768,0.05043,649.77535
32768,0.050192,652.848076
32768,0.050196,652.798497
32768,0.050141,653.512103
32768,0.050225,652.427365
32768,0.05014,653.534261
32768,0.050253,652.060573
32768,0.050437,649.68656
32768,0.050797,645.074773
32768,0.050139,653.54852
32768,0.050586,647.768874
32768,0.054395,602.404278
