photons,time,photons_per_second
524288,1.684813,311.184707
524288,1.660027,315.830957
524288,1.660464,315.747868
524288,1.650539,317.646562
524288,1.646971,318.334737
524288,1.661206,315.606908
524288,1.64929,317.887184
524288,1.652776,317.216623
524288,1.65449,316.888061
524288,1.657002,316.407621
524288,1.649799,317.789094
524288,1.652895,317.193813
524288,1.651423,317.476544
524288,1.654807,316.827278
524288,1.653969,316.987853
524288,1.65002,317.746404
524288,1.652001,317.365464
524288,1.652404,317.287951
524288,1.653222,317.131048
524288,1.653299,317.116358
524288,1.652013,317.363125
524288,1.653015,317.170711
524288,1.653558,317.066594
524288,1.652292,317.309535
524288,1.657348,316.341565
524288,1.647108,318.308302
524288,1.652379,317.292809
524288,1.650368,317.67936
524288,1.649134,317.917239
524288,1.655256,316.74137
