photons,time,photons_per_second
524288,0.839894,624.230911
524288,0.837693,625.871274
524288,0.834712,628.10624
524288,0.838124,625.549527
524288,0.831109,630.829355
524288,0.836672,626.634687
524288,0.839746,624.340802
524288,0.837414,626.07957
524288,0.840056,624.110539
524288,0.836272,626.934954
524288,0.835513,627.503937
524288,0.839886,624.237087
524288,0.837779,625.806907
524288,0.838595,625.197864
524288,0.835705,627.360355
524288,0.83759,625.948448
524288,0.837876,625.73495
524288,0.835999,627.139601
524288,0.841565,622.991758
524288,0.836581,626.702872
524288,0.838256,625.451097
524288,0.837715,625.855136
524288,0.835278,627.680954
524288,0.83741,626.082978
524288,0.840944,623.451565
524288,0.835477,627.531141
524288,0.83784,625.761374
524288,0.835192,627.745775
524288,0.835881,627.227923
524288,0.837405,626.086404
