photons,time,photons_per_second
32768,0.067585,484.841021
32768,0.067521,485.299361
32768,0.0674,486.168932
32768,0.066963,489.342669
32768,0.067164,487.877506
32768,0.067561,485.011172
32768,0.068818,476.155808
32768,0.067109,488.278367
32768,0.067005,489.040102
32768,0.067307,486.844444
32768,0.068024,481.709708
32768,0.068887,475.675688
32768,0.068721,476.828462
32768,0.068919,475.454689
32768,0.069199,473.536063
32768,0.06914,473.935629
32768,0.068333,479.536357
32768,0.068542,478.071622
32768,0.068562,477.931051
32768,0.067521,485.30324
32768,0.067056,488.665825
32768,0.066944,489.485427
32768,0.069418,472.040713
32768,0.068011,481.805194
32768,0.066877,489.974425
32768,0.067198,487.637116
32768,0.067242,487.313607
32768,0.066991,489.139166
32768,0.073312,446.969182
32768,0.066826,490.348947
