photons,time,photons_per_second
4194304,0.324626,12920.4377
4194304,0.329745,12719.835036
4194304,0.3314,12656.327504
4194304,0.326846,12832.662202
4194304,0.332066,12630.931813
4194304,0.333033,12594.243205
4194304,0.345999,12122.284637
4194304,0.330547,12688.964276
4194304,0.327256,12816.586078
4194304,0.331826,12640.087577
4194304,0.333939,12560.104274
4194304,0.33208,12630.384891
4194304,0.333424,12579.5074
4194304,0.33177,12642.205496
4194304,0.332469,12615.642946
4194304,0.326875,12831.520129
4194304,0.327095,12822.874941
4194304,0.331812,12640.596552
4194304,0.332237,12624.444481
4194304,0.333501,12576.590501
4194304,0.334653,12533.284458
4194304,0.332378,12619.060086
4194304,0.336581,12461.515526
4194304,0.330879,12676.240384
4194304,0.331089,12668.216295
4194304,0.330732,12681.87957
4194304,0.331456,12654.185766
4194304,0.331302,12660.044538
4194304,0.331134,12666.472928
4194304,0.330666,12684.396289
