photons,time,photons_per_second
524288,0.025947,20205.940289
524288,0.029215,17946.124274
524288,0.02492,21039.112821
524288,0.025366,20668.657218
524288,0.025422,20623.630632
524288,0.025074,20909.359948
524288,0.025851,20280.976239
524288,0.024973,20994.428278
524288,0.024923,21036.007221
524288,0.028796,18206.686757
524288,0.025716,20387.815188
524288,0.027218,19262.559674
524288,0.025009,20963.594949
524288,0.025572,20502.783821
524288,0.025791,20328.464736
524288,0.025821,20304.365637
524288,0.024958,21007.138871
524288,0.024961,21004.134392
524288,0.024819,21124.68926
524288,0.029067,18036.986589
524288,0.026028,20143.190866
524288,0.025148,20847.741121
524288,0.028429,18442.063923
524288,0.025082,20902.790789
524288,0.025503,20557.982977
524288,0.025255,20759.522892
524288,0.025782,20335.087866
524288,0.025185,20817.518705
524288,0.025294,20728.12935
524288,0.02516,20838.270959
524288,0.025847,20284.209139
524288,0.025255,20760.00787
524288,0.025343,20687.929039
524288,0.025871,20265.579129
524288,0.02531,20714.722887
524288,0.025941,20210.667493
524288,0.025283,20736.426213
524288,0.02585,20281.901281
524288,0.02526,20756.046606
524288,0.025241,20770.986979
524288,0.025328,20699.560006
524288,0.026227,19990.428187
524288,0.026327,19914.141141
524288,0.025515,20548.370645
524288,0.025421,20624.10947
524288,0.025849,20282.851437
524288,0.025287,20733.30929
524288,0.025787,20331.594572
524288,0.02975,17623.296119
524288,0.025378,20658.802777
