photons,time,photons_per_second
1048576,0.062452,16790.197349
1048576,0.06078,17251.883544
1048576,0.118437,8853.465745
1048576,0.056629,18516.536539
1048576,0.079035,13267.216736
1048576,0.07519,13945.598201
1048576,0.077622,13508.732911
1048576,0.112826,9293.704806
1048576,0.290027,3615.445817
1048576,0.310207,3380.246434
1048576,0.246842,4247.963597
1048576,0.315756,3320.844031
1048576,0.246503,4253.806416
1048576,0.237938,4406.932574
1048576,0.240686,4356.611334
1048576,0.27196,3855.622962
1048576,0.360935,2905.164687
1048576,0.34335,3053.959336
1048576,0.316436,3313.711097
1048576,0.1966,5333.542002
1048576,0.247778,4231.914874
1048576,0.274007,3826.817292
1048576,0.344253,3045.942816
1048576,0.230415,4550.812997
1048576,0.228338,4592.207942
1048576,0.258022,4063.906488
1048576,0.25059,4184.424692
1048576,0.269751,3887.196651
1048576,0.225809,4643.644373
1048576,0.259359,4042.956627
