photons,time,photons_per_second
32768,0.050616,647.389559
32768,0.04986,657.194186
32768,0.05028,651.704306
32768,0.050558,648.131096
32768,0.050141,653.522772
32768,0.050207,652.655239
32768,0.049976,655.676916
32768,0.049757,658.560709
32768,0.050315,651.258206
32768,0.050254,652.053412
32768,0.050115,653.859758
32768,0.050461,649.375961
32768,0.050332,651.035921
32768,0.050521,648.602817
32768,0.050552,648.209433
32768,0.050117,653.829886
32768,0.050315,651.253559
32768,0.050512,648.720563
32768,0.050454,649.468374
32768,0.050296,651.502429
32768,0.050242,652.196931
32768,0.049845,657.396984
32768,0.050608,647.481532
32768,0.051333,638.34351
32768,0.050537,648.393107
32768,0.050205,652.683188
32768,0.050848,644.426125
32768,0.049669,659.725381
32768,0.049724,658.997907
32768,0.049705,659.249132
