photons,time,photons_per_second
1048576,0.055962,18737.428273
1048576,0.057432,18257.808916
1048576,0.055991,18727.672869
1048576,0.056296,18625.988427
1048576,0.06127,17113.959315
1048576,0.060693,17276.681514
1048576,0.056908,18425.859901
1048576,0.056681,18499.607928
1048576,0.056748,18477.762628
1048576,0.056599,18526.324885
1048576,0.056902,18427.806445
1048576,0.057108,18361.162728
1048576,0.057134,18352.942391
1048576,0.056983,18401.65358
1048576,0.057222,18324.701529
1048576,0.060711,17271.681589
1048576,0.061606,17020.614013
1048576,0.056604,18524.655705
1048576,0.057548,18220.831788
1048576,0.05729,18303.059799
1048576,0.056887,18432.503201
1048576,0.061881,16945.108673
1048576,0.056884,18433.514471
1048576,0.057336,18288.283254
1048576,0.05727,18309.263039
1048576,0.056886,18432.872493
1048576,0.057065,18375.027535
1048576,0.056755,18475.483919
1048576,0.061441,17066.256097
1048576,0.059462,17634.418893
