photons,time,photons_per_second
1048576,0.051684,20288.188285
1048576,0.054323,19302.688674
1048576,0.048515,21613.358586
1048576,0.048466,21635.227731
1048576,0.04906,21373.185456
1048576,0.049034,21384.5401
1048576,0.053339,19658.680335
1048576,0.048419,21656.206091
1048576,0.050913,20595.389206
1048576,0.053196,19711.674359
1048576,0.064509,16254.757429
1048576,0.05173,20270.104281
1048576,0.048889,21448.174762
1048576,0.052524,19963.889398
1048576,0.048948,21422.103109
1048576,0.048633,21561.050063
1048576,0.049237,21296.421554
1048576,0.049142,21337.790842
1048576,0.052118,20119.27011
1048576,0.049329,21256.574046
1048576,0.049227,21300.795289
1048576,0.04936,21243.263001
1048576,0.049928,21001.963622
1048576,0.051722,20273.313547
1048576,0.049162,21328.96709
1048576,0.049939,20997.295469
1048576,0.049775,21066.448819
1048576,0.049757,21074.086254
1048576,0.049678,21107.574396
1048576,0.049678,21107.659276
1048576,0.049334,21254.807097
1048576,0.049245,21292.966302
1048576,0.049492,21186.644144
1048576,0.049188,21317.593268
1048576,0.049324,21258.780511
1048576,0.049847,21035.998279
1048576,0.049817,21048.417517
1048576,0.049278,21278.607754
1048576,0.049784,21062.559972
1048576,0.049142,21337.51293
1048576,0.049327,21257.772043
1048576,0.049883,21020.728633
1048576,0.049386,21232.06626
1048576,0.05371,19522.768864
1048576,0.053319,19666.135435
1048576,0.049328,21257.267844
1048576,0.049064,21371.503933
1048576,0.05382,19482.871221
1048576,0.054102,19381.505816
1048576,0.049314,21263.212184
