photons,time,photons_per_second
4194304,0.265688,15786.5857
4194304,0.24731,16959.689289
4194304,0.275938,15200.141537
4194304,0.245989,17050.798111
4194304,0.236404,17742.12156
4194304,0.237982,17624.45551
4194304,0.239973,17478.233187
4194304,0.243091,17254.053935
4194304,0.262246,15993.756892
4194304,0.300423,13961.340217
4194304,0.265167,15817.579945
4194304,0.240548,17436.444961
4194304,0.244555,17150.789768
4194304,0.244519,17153.309247
4194304,0.25056,16739.715556
4194304,0.256392,16358.934149
4194304,0.251665,16666.228781
4194304,0.293609,14285.331752
4194304,0.238759,17567.104268
4194304,0.295036,14216.244709
4194304,0.262042,16006.245903
4194304,0.276386,15175.556556
4194304,0.278093,15082.39334
4194304,0.24876,16860.831427
4194304,0.255077,16443.293227
4194304,0.254665,16469.868233
4194304,0.241956,17334.95435
4194304,0.246697,17001.868486
4194304,0.243808,17203.290657
4194304,0.240441,17444.182665
