photons,time,photons_per_second
11010048,1.046919,10516.61547
11010048,1.270648,8664.910657
11010048,1.035352,10634.108622
11010048,1.301816,8457.45067
11010048,1.138757,9668.477442
11010048,1.586851,6938.298421
11010048,1.299815,8470.474852
11010048,1.411478,7800.369059
11010048,1.135684,9694.640513
11010048,1.468847,7495.707776
11010048,1.677357,6563.92658
11010048,1.275445,8632.319797
11010048,1.141069,9648.886441
11010048,1.131572,9729.87032
11010048,1.267765,8684.612225
11010048,1.465118,7514.786332
11010048,1.311724,8393.570368
11010048,1.272388,8653.060237
11010048,1.145538,9611.243632
11010048,1.660903,6628.951077
11010048,1.07639,10228.680707
11010048,1.220906,9017.930331
11010048,1.695061,6495.370212
11010048,1.173652,9381.014285
11010048,1.469808,7490.808609
11010048,1.407466,7822.604292
11010048,1.342483,8201.257841
11010048,1.001988,10988.19821
11010048,1.146322,9604.671331
11010048,1.756969,6266.500268
