photons,time,photons_per_second
1572864,0.721308,2180.571964
1572864,0.717788,2191.264084
1572864,0.717916,2190.875767
1572864,0.717812,2191.191872
1572864,0.71693,2193.888011
1572864,0.718248,2189.862559
1572864,0.717459,2192.269383
1572864,0.720507,2182.996007
1572864,0.719106,2187.250409
1572864,0.715477,2198.342782
1572864,0.716136,2196.31974
1572864,0.718169,2190.102588
1572864,0.720041,2184.408798
1572864,0.718013,2190.579885
1572864,0.717376,2192.52318
1572864,0.716609,2194.871872
1572864,0.716986,2193.716811
1572864,0.720506,2182.998076
1572864,0.723347,2174.424867
1572864,0.718405,2189.384221
1572864,0.727213,2162.866069
1572864,0.718799,2188.182684
1572864,0.717612,2191.803176
1572864,0.71842,2189.33647
1572864,0.718262,2189.820277
1572864,0.720779,2182.172232
1572864,0.718422,2189.332658
1572864,0.716977,2193.74477
1572864,0.718117,2190.26067
1572864,0.74096,2122.73784
