photons,time,photons_per_second
7340032,0.686835,10686.754386
7340032,0.68315,10744.395956
7340032,0.676757,10845.888559
7340032,0.675176,10871.284124
7340032,0.674452,10882.963577
7340032,0.680223,10790.630396
7340032,0.681293,10773.678806
7340032,0.689145,10650.918499
7340032,0.678201,10822.79126
7340032,0.678303,10821.172876
7340032,0.685433,10708.60317
7340032,0.682786,10750.126735
7340032,0.684381,10725.069611
7340032,0.681168,10775.660441
7340032,0.692772,10595.161873
7340032,0.678846,10812.522081
7340032,0.672703,10911.245565
7340032,0.676267,10853.753681
7340032,0.671605,10929.093203
7340032,0.680481,10786.530318
7340032,0.692116,10605.206135
7340032,0.681868,10764.601233
7340032,0.685475,10707.947682
7340032,0.679804,10797.281084
7340032,0.679127,10808.045191
7340032,0.683918,10732.32307
7340032,0.676407,10851.496805
7340032,0.686969,10684.661118
7340032,0.68229,10757.929231
7340032,0.678198,10822.853016
