photons,time,photons_per_second
2097152,0.684778,3062.528043
2097152,0.586708,3574.440706
2097152,0.575559,3643.679695
2097152,0.5715,3669.558127
2097152,0.571284,3670.942262
2097152,0.571712,3668.196934
2097152,0.571364,3670.429095
2097152,0.570498,3676.000759
2097152,0.569497,3682.465484
2097152,0.568957,3685.958039
2097152,0.571261,3671.095157
2097152,0.570997,3672.791167
2097152,0.571147,3671.825176
2097152,0.572328,3664.246367
2097152,0.569522,3682.305227
2097152,0.570876,3673.566835
2097152,0.566964,3698.917278
2097152,0.570109,3678.508736
2097152,0.57275,3661.549404
2097152,0.570624,3675.191448
2097152,0.572331,3664.229247
2097152,0.57156,3669.170229
2097152,0.570209,3677.86582
2097152,0.571004,3672.7464
2097152,0.571077,3672.273586
2097152,0.571795,3667.667093
2097152,0.570572,3675.527037
2097152,0.570851,3673.726841
2097152,0.571781,3667.755549
2097152,0.571062,3672.370103
